POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
208,Devdutt Padikkal,39,18,216.66,5,2,LSG,Brabourne - CCI,15 May 2022
209,Devdutt Padikkal,41,29,141.37,4,2,SRH,Maharashtra Cricket Association Stadium,29 March 2022
210,Devdutt Padikkal,28,20,140,2,2,GT,Eden Gardens,24 May 2022
211,Devdutt Padikkal,48,30,160,6,2,DC,DY Patil Stadium,11 May 2022
212,Moeen Ali,48,35,137.14,3,2,SRH,DY Patil Stadium,09 April 2022
213,Moeen Ali,21,17,123.52,0,2,GT,Wankhede Stadium,15 May 2022
214,Moeen Ali,35,22,159.09,4,2,LSG,Brabourne - CCI,31 March 2022
215,Moeen Ali,34,27,125.92,2,2,RCB,Maharashtra Cricket Association Stadium,04 May 2022
216,Shimron Hetmyer,26,13,200,2,2,KKR,Brabourne - CCI,18 April 2022
217,Shimron Hetmyer,31,16,193.75,3,2,PBKS,Wankhede Stadium,07 May 2022
218,Shimron Hetmyer,27,13,207.69,1,2,KKR,Wankhede Stadium,02 May 2022
219,Shimron Hetmyer,42,31,135.48,4,2,RCB,Wankhede Stadium,05 April 2022
220,Shivam Dube,32,19,168.42,2,2,DC,DY Patil Stadium,08 May 2022
221,Shivam Dube,49,30,163.33,5,2,LSG,Brabourne - CCI,31 March 2022
222,Abhishek Sharma,43,28,153.57,4,2,KKR,Maharashtra Cricket Association Stadium,14 May 2022
223,Abhishek Sharma,43,32,134.37,5,2,PBKS,Wankhede Stadium,22 May 2022
224,David Warner,61,45,135.55,6,2,KKR,Brabourne - CCI,10 April 2022
225,David Warner,19,12,158.33,1,2,CSK,DY Patil Stadium,08 May 2022
226,Deepak Hooda,59,39,151.28,5,2,RR,Brabourne - CCI,15 May 2022
227,Deepak Hooda,55,41,134.14,6,2,GT,Wankhede Stadium,28 March 2022
228,Deepak Hooda,34,28,121.42,1,2,PBKS,Maharashtra Cricket Association Stadium,29 April 2022
229,Deepak Hooda,41,27,151.85,4,2,KKR,Maharashtra Cricket Association Stadium,07 May 2022
230,Rashid Khan,19,6,316.66,1,2,RCB,Wankhede Stadium,19 May 2022
231,Wriddhiman Saha,55,40,137.5,6,2,MI,Brabourne - CCI,06 May 2022
232,Jason Holder,16,9,177.77,0,2,RCB,DY Patil Stadium,19 April 2022
233,Jason Holder,13,4,325,0,2,KKR,Maharashtra Cricket Association Stadium,07 May 2022
234,Aiden Markram,17,10,170,0,2,CSK,Maharashtra Cricket Association Stadium,01 May 2022
235,Aiden Markram,57,41,139.02,5,2,RR,Maharashtra Cricket Association Stadium,29 March 2022
236,Rovman Powell,35,21,166.66,3,2,LSG,Wankhede Stadium,01 May 2022
237,Romario Shepherd,24,18,133.33,0,2,RR,Maharashtra Cricket Association Stadium,29 March 2022
238,Romario Shepherd,26,15,173.33,2,2,PBKS,Wankhede Stadium,22 May 2022
239,Bhanuka Rajapaksa,27,18,150,2,2,RR,Wankhede Stadium,07 May 2022
240,Bhanuka Rajapaksa,42,32,131.25,2,2,CSK,Wankhede Stadium,25 April 2022
241,Priyam Garg,42,26,161.53,4,2,MI,Wankhede Stadium,17 May 2022
242,Yashasvi Jaiswal,21,13,161.53,1,2,RCB,Narendra Modi Stadium,27 May 2022
243,Yashasvi Jaiswal,68,41,165.85,9,2,PBKS,Wankhede Stadium,07 May 2022
244,Yashasvi Jaiswal,22,16,137.5,1,2,GT,Narendra Modi Stadium,29 May 2022
245,Lalit Yadav,37,24,154.16,3,2,RR,Wankhede Stadium,22 April 2022
246,Lalit Yadav,48,38,126.31,4,2,MI,Brabourne - CCI,27 March 2022
247,Venkatesh Iyer,18,8,225,1,2,DC,Brabourne - CCI,10 April 2022
248,Shahrukh Khan,26,28,92.85,1,2,SRH,DY Patil Stadium,17 April 2022
249,Shahrukh Khan,24,20,120,1,2,RCB,DY Patil Stadium,27 March 2022
250,Shahrukh Khan,15,6,250,0,2,MI,Maharashtra Cricket Association Stadium,13 April 2022
251,Shahrukh Khan,15,8,187.5,0,2,GT,Brabourne - CCI,08 April 2022
252,Rajat Patidar,48,38,126.31,4,2,SRH,Wankhede Stadium,08 May 2022
253,Rajat Patidar,52,32,162.5,5,2,GT,Brabourne - CCI,30 April 2022
254,Rajat Patidar,26,21,123.8,1,2,PBKS,Brabourne - CCI,13 May 2022
255,Devon Conway,56,37,151.35,6,2,RCB,Maharashtra Cricket Association Stadium,04 May 2022
256,Dushmantha Chameera,17,10,170,0,2,PBKS,Maharashtra Cricket Association Stadium,29 April 2022
257,Tim David,16,7,228.57,0,2,CSK,Wankhede Stadium,12 May 2022
258,Dewald Brevis,29,19,152.63,2,2,KKR,Maharashtra Cricket Association Stadium,06 April 2022
259,Abhinav Manohar,43,28,153.57,4,2,RR,DY Patil Stadium,14 April 2022
260,Ayush Badoni,19,9,211.11,0,2,CSK,Brabourne - CCI,31 March 2022
261,Tilak Varma,38,27,140.74,3,2,KKR,Maharashtra Cricket Association Stadium,06 April 2022
