POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
261,Nitish Rana,48,37,129.72,3,2,RR,Wankhede Stadium,02 May 2022
262,Nitish Rana,43,26,165.38,3,4,MI,DY Patil Stadium,09 May 2022
263,Rinku Singh,23,16,143.75,3,0,DC,Wankhede Stadium,28 April 2022
264,Sunil Narine,22,12,183.33,3,1,LSG,Maharashtra Cricket Association Stadium,07 May 2022
265,Ishan Kishan,26,28,92.85,3,0,RCB,Maharashtra Cricket Association Stadium,09 April 2022
266,Ishan Kishan,48,35,137.14,3,4,DC,Wankhede Stadium,21 May 2022
267,Kieron Pollard,22,24,91.66,3,1,RR,DY Patil Stadium,02 April 2022
268,Quinton De Kock,23,13,176.92,3,1,DC,Wankhede Stadium,01 May 2022
269,Suryakumar Yadav,32,21,152.38,3,1,CSK,DY Patil Stadium,21 April 2022
270,Suryakumar Yadav,37,27,137.03,3,0,LSG,Brabourne - CCI,16 April 2022
271,Jos Buttler,35,28,125,3,3,SRH,Maharashtra Cricket Association Stadium,29 March 2022
272,Jos Buttler,22,25,88,3,0,KKR,Wankhede Stadium,02 May 2022
273,Mahipal Lomror,42,27,155.55,3,2,CSK,Maharashtra Cricket Association Stadium,04 May 2022
274,Riyan Parag,56,31,180.64,3,4,RCB,Maharashtra Cricket Association Stadium,26 April 2022
275,Sanju Samson,38,19,200,3,2,KKR,Brabourne - CCI,18 April 2022
276,Sanju Samson,55,27,203.7,3,5,SRH,Maharashtra Cricket Association Stadium,29 March 2022
277,Devdutt Padikkal,15,15,100,3,0,MI,DY Patil Stadium,30 April 2022
278,Devdutt Padikkal,31,32,96.87,3,0,PBKS,Wankhede Stadium,07 May 2022
279,Devdutt Padikkal,24,18,133.33,3,1,KKR,Brabourne - CCI,18 April 2022
280,Moeen Ali,48,35,137.14,3,2,SRH,DY Patil Stadium,09 April 2022
281,Shimron Hetmyer,35,14,250,3,3,MI,DY Patil Stadium,02 April 2022
282,Shimron Hetmyer,31,16,193.75,3,2,PBKS,Wankhede Stadium,07 May 2022
283,Abhishek Sharma,31,25,124,3,1,PBKS,DY Patil Stadium,17 April 2022
284,Deepak Hooda,27,26,103.84,3,0,GT,Maharashtra Cricket Association Stadium,10 May 2022
285,Deepak Hooda,25,24,104.16,3,0,RR,Wankhede Stadium,10 April 2022
286,Deepak Hooda,51,33,154.54,3,3,SRH,DY Patil Stadium,04 April 2022
287,Wriddhiman Saha,21,17,123.52,3,1,PBKS,DY Patil Stadium,03 May 2022
288,Rovman Powell,35,21,166.66,3,2,LSG,Wankhede Stadium,01 May 2022
289,Rovman Powell,67,35,191.42,3,6,SRH,Brabourne - CCI,05 May 2022
290,Bhanuka Rajapaksa,31,9,344.44,3,3,KKR,Wankhede Stadium,01 April 2022
291,Shahbaz Ahmed,32,21,152.38,3,1,DC,Wankhede Stadium,16 April 2022
292,Lalit Yadav,37,24,154.16,3,2,RR,Wankhede Stadium,22 April 2022
293,Matthew Wade,19,19,100,3,0,SRH,DY Patil Stadium,11 April 2022
294,Matthew Wade,12,6,200,3,0,RR,DY Patil Stadium,14 April 2022
295,Venkatesh Iyer,43,24,179.16,3,4,MI,DY Patil Stadium,09 May 2022
296,Tim David,13,9,144.44,3,0,KKR,DY Patil Stadium,09 May 2022
297,Tim David,46,18,255.55,3,4,SRH,Wankhede Stadium,17 May 2022
298,Abhinav Manohar,15,7,214.28,3,0,LSG,Wankhede Stadium,28 March 2022
299,Ayush Badoni,19,12,158.33,3,0,SRH,DY Patil Stadium,04 April 2022
300,Hrithik Shokeen,25,25,100,3,0,CSK,DY Patil Stadium,21 April 2022
301,Tilak Varma,38,27,140.74,3,2,KKR,Maharashtra Cricket Association Stadium,06 April 2022
302,Tilak Varma,51,43,118.6,3,2,CSK,DY Patil Stadium,21 April 2022
303,Tilak Varma,36,20,180,3,2,PBKS,Maharashtra Cricket Association Stadium,13 April 2022
304,Tilak Varma,61,33,184.84,3,5,RR,DY Patil Stadium,02 April 2022
305,Tilak Varma,22,15,146.66,3,0,DC,Brabourne - CCI,27 March 2022
306,Rishi Dhawan,21,22,95.45,3,1,LSG,Maharashtra Cricket Association Stadium,29 April 2022
307,Jitesh Sharma,19,7,271.42,3,1,SRH,Wankhede Stadium,22 May 2022
308,Jitesh Sharma,44,34,129.41,3,2,DC,DY Patil Stadium,16 May 2022
309,Virat Kohli,20,14,142.85,2,1,PBKS,Brabourne - CCI,13 May 2022
310,Virat Kohli,25,24,104.16,2,0,LSG,Eden Gardens,25 May 2022
